Altium Designer Pick and Place Locations
C:\Users\Familia CS\AppData\Local\Temp\Releases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB Down.txt

========================================================================================================================
File Design Information:

Date:       18/03/25
Time:       22:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment             Description                                                                                                                        Designator   Footprint                    Layer       Rotation 
1720.000      1955.000      CL31B104KBCNFNC     "Cap Ceramic 100nF 50V X7R ±10% SMD 1206 +125°C Embossed T/R"                                                                      C15          FP-CL31-IPC_C                BottomLayer 270      
2985.000      855.000       EEUHD1C101          "Aluminum Electrolytic Capacitors (Radial Lead Type) AEC-Q200 Qualified 100uF ±20% 16V"                                            C14          FP-RAD-TH-D_5_0_5-L_11_1-MFG TopLayer    90       
2680.000      945.630       EEUHD1C101          "Aluminum Electrolytic Capacitors (Radial Lead Type) AEC-Q200 Qualified 100uF ±20% 16V"                                            C13          FP-RAD-TH-D_5_0_5-L_11_1-MFG TopLayer    90       
177.165       1653.543      EEUHD1C101          "Aluminum Electrolytic Capacitors (Radial Lead Type) AEC-Q200 Qualified 100uF ±20% 16V"                                            C12          FP-RAD-TH-D_5_0_5-L_11_1-MFG TopLayer    180      
2050.630      1805.000      EEUHD1C101          "Aluminum Electrolytic Capacitors (Radial Lead Type) AEC-Q200 Qualified 100uF ±20% 16V"                                            C11          FP-RAD-TH-D_5_0_5-L_11_1-MFG TopLayer    180      
2762.874      1216.968      AB26TRB-32.768KHZ-T "CRYSTAL 32.7680KHZ 12.5PF TH"                                                                                                     Y2           FP-AB26TRB-MFG               TopLayer    180      
1810.000      990.000       FOXSLF/120-20       "Resistance Weld Thru-Hole Crystal, 12 MHz, +/-30 ppm, -20 to 70 degC, 2-Pin THD, RoHS, Bulk"                                      Y1           FOX-FOXSLF-2_V               TopLayer    180      
1771.653      530.905       67068-8011          "67068-8011 Conn USB 2.0 Type B RCP 4 POS 2.5mm Solder RA Thru-Hole 4 Terminal 1 Port USB 2.0 Tray"                                "VIN - 5vdc" FP-67068-8011-MFG            TopLayer    0        
1811.024      1377.953      PIC16F877A-I/PT     "Enhanced FLASH Microcontroller, 8K (x14-Bit words) FLASH, 368 Bytes RAM, 44-Pin TQFP, Standard VDD Range, Industrial Temperature" U1           TQFP-PT44_M                  TopLayer    270      
2145.000      1220.000      RC3216F472CS        "Res Thick Film 1206 4.7kO 1% 0.25W ±100ppm/°C Molded SMD T/R"                                                                     R8           FP-RC3216-MFG                BottomLayer 270      
